observation_date,GDP_log,XTIMVA01USM664S_log,XTEXVA01USM664S_log,GPDI_log,RPI_log,INDPRO_log,BUSLOANS_log,NONREVSL_log,UNRATE_diff,DFF_diff,GS1_diff,AAA_diff,IRLTLT01USM156N_diff,M1V,CUMFNS,CLF16OV,B235RC1Q027SBEA,ROWFDIQ027S,CPILFESL_inflation,PCEPI_inflation
1965-04-01,-1.6364791110358072,-1.7384900877973921,-1.6637574338629093,-1.6193686223779586,-1.5718351151153354,-1.5712793728272911,-1.4912745630396058,-1.4878907203544072,-0.27244471658801245,0.10914782864837726,0.014830940561892627,0.05041422896122076,0.026141711641744687,-0.909992962353244,2.049182104801959,-1.5802831888565552,-0.8934649748782971,-0.7538551503504227,-0.9437248095983737,-0.4828002589759365
1965-07-01,-1.6146803736476367,-1.7418905926845643,-1.6657893889699809,-1.592420489409353,-1.5341160953401038,-1.524281574360357,-1.4798444218107023,-1.4661464824352897,-0.411085223254101,-0.005932432043414042,0.08568987880204874,0.15835506773295815,0.09099326552222835,-0.8788138406798466,2.1514395420425427,-1.5719914653435458,-0.891191530111747,-0.7496321319596673,-1.2624517990103714,-0.6960637637283141
1965-10-01,-1.5897082606964728,-1.7085815463100253,-1.649118040410588,-1.5766362265578575,-1.4990915860789167,-1.4788722891091728,-1.4548814404055928,-1.4486415123691567,-0.41108522325410224,0.09763980257919787,0.5391870835390405,0.2932811161976347,0.4801025888051266,-0.8537760611542397,2.1679889408502233,-1.5628608904245513,-0.8889180853451968,-0.7501600092585117,-0.628700266288386,-0.7929743045001425
1966-01-01,-1.5640311339668984,-1.6789214528500525,-1.6403287977650447,-1.5140946028767324,-1.4752450629304854,-1.414840077601779,-1.444707929621131,-1.4286666211997237,-0.27244471658801184,0.44288058465457125,0.6667331723713196,0.5361480034340463,0.6530400658197484,-0.8249589941530693,2.398301407590419,-1.5576019373793355,-0.885945119112016,-0.7500544337987428,-0.6327104033489122,-0.057469702728130595
1966-04-01,-1.5542934088392086,-1.6571398966966295,-1.6369414313779538,-1.5181351277028856,-1.4607727472585006,-1.3679770390097172,-1.4382150951286976,-1.415753938928462,-0.13380420992192327,0.39684848037785575,0.0006591529138619074,0.5091627937411143,0.026141711641746605,-0.8230693504152874,2.4889986030168147,-1.5445352135553325,-0.8819228706788889,-0.7505031295027605,0.14067832790558987,-0.0012186416592121193
1966-07-01,-1.5390854411782828,-1.6211844225090777,-1.616831282472817,-1.5199159457297635,-1.436615699100552,-1.3331654368834471,-1.4351599226146354,-1.4064087940148087,0.004836296744165894,0.5694688714155419,0.8226228364996613,0.859970519749268,0.7827431735807139,-0.775828256970746,2.4234905660697543,-1.529403624731981,-0.8817479903122312,-0.7541190889998449,-0.027863351678936603,-0.07658317347262707
1966-10-01,-1.5251507774122288,-1.616440589020609,-1.6082149049387797,-1.504605536696405,-1.4122209239290096,-1.3116036815910546,-1.442479130464969,-1.3986834064882823,-0.13380420992192266,0.16668795899427213,-0.09854336062235439,0.15835506773295815,-0.29811605776066985,-0.7446491352973487,2.2910345322303525,-1.512078116846822,-0.8813982295789158,-0.7471775025200407,0.1113875281485876,-0.05798241452197894
1967-01-01,-1.5142296804282396,-1.6161108196017528,-1.588375775202535,-1.5221429780949403,-1.3875937878112214,-1.324132030498606,-1.4632657826433533,-1.3903465904660255,0.14347680341025446,-0.8575263611626681,-1.189771009520745,-0.7051716424409579,-0.9033972273118464,-0.7375629712806671,1.8841748637489277,-1.5116586911438292,-0.8803489473789695,-0.7477581675487696,-0.5087289234490845,-0.8275449157116822
1967-04-01,-1.5094380130374907,-1.634046632190901,-1.5889081002704215,-1.553686179919535,-1.376726632880114,-1.3333876488247964,-1.4723202971933458,-1.3837553151089674,0.004836296744165894,-0.9610985957852811,-0.49535341476722333,0.3742367452764378,0.523336958058783,-0.7559869977240385,1.5178774472471055,-1.4973336902108485,-0.8817479903122312,-0.7477845614137117,-0.21097896185005724,-0.5274389160855087
1967-07-01,-1.4934583849386776,-1.626029679657092,-1.5867016426150402,-1.522003249846003,-1.355993052905718,-1.317846220218324,-1.478576015050413,-1.3728242283369396,0.004836296744165894,-0.12101269273520535,1.2477764659405917,0.9679113585210078,0.9340634659685084,-0.7626007508062741,1.350781250217121,-1.4740071684213323,-0.8848958369120697,-0.7497113135544939,0.22851140732295908,0.18708266533369175
1967-10-01,-1.477818167877858,-1.5777135478494813,-1.5868166640086039,-1.494417833179712,-1.340947513472916,-1.2579694811268438,-1.4740237409392563,-1.3608284850869128,0.1434768034102551,0.3162922978936011,0.6100460217791954,1.102837406985682,0.8475947274611975,-0.7569318195929293,1.624292515315598,-1.4537134170996096,-0.8770262204124731,-0.7494209810401294,0.2067319813441013,0.07451974866753057
